parameters	r2_cv_mean	explained_variance_cv_mean	neg_mean_squared_error_cv_mean	neg_mean_absolute_error_cv_mean	time	seed	dataset	algorithm	_id
{'C': 10, 'cache_size': 700, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 100, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	0.313066719446921	0.32186304677516536	-0.4445157236405865	-0.4747481104872482	0.07067239284515381	24800	1028_SWD	SVR	994f1374db613b03c22c295f8fb19461465b325bb7f52f8b2a4af3f5938d1b11
{'C': 100, 'cache_size': 700, 'coef0': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 10, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 1e-05, 'verbose': False}	0.5602698057316229	0.5652028632528963	-0.4371486846499308	-0.504429394562529	0.1215439796447754	24800	609_fri_c0_1000_5	SVR	5f5171eceaf7396b74d7e9c8a2061f88bb187df4439ec9f40777d77b4ff2f5fc
{'C': 0.001, 'cache_size': 700, 'coef0': 0.0, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.01, 'verbose': False}	-0.020140030177197298	3.1703677128014358e-09	-1.0103388510689857	-0.7819048197552938	0.010879874229431152	24800	646_fri_c3_500_10	SVR	bcd1b5eb571c2dfa366b73808ef10225b03676492d56796db1d06e7467e3aebb
{'bootstrap': 'true', 'criterion': 'mse', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.2, 'n_estimators': 500, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.5020450273116742	0.5195413443134059	-0.4822233265369406	-0.5558113882964377	0.696833872795105	24800	649_fri_c0_500_5	RandomForestRegressor	4f1d975649c34787fd4c9c229668d0ecfa18c7e8c25880da3594c361214383fb
{'C': 10, 'cache_size': 700, 'coef0': 0.1, 'degree': 3, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	-0.013983236231344651	0.0022735976298707715	-0.99642501206254	-0.8029463157715753	0.009445047378540041	24800	658_fri_c3_250_25	SVR	68203b2f4c735c5c6c510719a2b02ce0d8138457cccc8015d0479c297906bbdf
{'criterion': 'mae', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.35, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	-0.06978425258954676	2.2204460492503126e-17	-0.6970000000000001	-0.633	0.0049590349197387714	24800	1028_SWD	DecisionTreeRegressor	994f1374db613b03c22c295f8fb19461465b325bb7f52f8b2a4af3f5938d1b11
{'C': 0.001, 'cache_size': 700, 'coef0': 10, 'degree': 2, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.001, 'verbose': False}	0.14209478992611715	0.2029132666389329	-0.7856639654663042	-0.7343131016005735	0.002905106544494629	24800	596_fri_c2_250_5	SVR	06d3557397a9ab94e4a6bc7737083383a753ae2984a383dac05ec787c00f4dc7
{'bootstrap': 'true', 'criterion': 'mae', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.05, 'n_estimators': 100, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.26209126694900514	0.3300855459095361	-64.23263451190475	-6.100740476190476	0.13415775299072266	24800	665_sleuth_case2002	RandomForestRegressor	8d824a40e6b6b8a6382589330cb8f51f206a8dbfb766e74e2acdad3d1fde8f34
{'alpha': 0.9, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'ls', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'presort': 'auto', 'random_state': 24800, 'subsample': 0.5, 'verbose': 0, 'warm_start': False}	0.5252501444897532	0.5350250717627834	-0.4654683267282138	-0.5448075311269295	0.07635636329650879	24800	581_fri_c3_500_25	GradientBoostingRegressor	46bda105a1251fe9a432e9ccd07e0f97e0d292b72021f909df411bcfb6023930
{'bootstrap': 'true', 'criterion': 'mae', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.35, 'n_estimators': 500, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.18086865245461145	0.19459145389411625	-0.8116340327037465	-0.6919383234069227	2.6265560388565063	24800	623_fri_c4_1000_10	RandomForestRegressor	c4991f7f7db210de7f3439643c94f0e4db1589478dedda01c3fea698ed6b1c96
